Name,Xpath,Simplified,
Real Relative Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,,
"Temperature, C",properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Temperature,
AC dielectric Constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
real permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
f,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Frequency,
Real component of permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric Constant at 1 kHz,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real dielectric function,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
"Dielectric constant, Dk",properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
real part of dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric Real Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric constant epsilon',properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
e',properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Relative permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
dielectric permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Temperature,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Temperature,
Frequency,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Frequency,
dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real Susceptibility,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Real Susceptibility,
w,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Angular Frequency,
AC Dielectric Constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real Part of the Complex Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real part of Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
e',properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric Loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary electric modulus,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
f,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Frequency,
PVAc 12% w (rad/s) (red circles),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Angular Velocity,
PVAc-32% w (rad/s) (red circles),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Angular Velocity,
frequency,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Frequency,
G',properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Loss factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,author not being specific
Loss Factor,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
e,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
imaginary part of dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Temperature,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Temperature,
"e"" (PVAc-32% red squares)",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary Susceptibility,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Imaginary Susceptibility,
imaginary part of dielectric function,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
"Imaginary Dielectric constant epsilon""",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary Part of the Complex Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
imaginary of dielectric function,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Dielectric Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
T,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Temperature,
"PVAc-12% e"" (red circles)",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Relative Imaginary permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Relative Dielectric Loss Permittivity,
temperature,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Temperature,
Imaginary Relative Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Relative Dielectric Loss Permittivity,
Dielectric loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary Electric modulus,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
w,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Angular Velocity,
Relative Imaginary Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Relative Dielectric Loss Permittivity,
Log(loss factor),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
"e"" (PVAc-23% red squares)",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Loss component,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
"e""",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,,
wnor,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,,
Relative Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Relative Dielectric Loss Permittivity,
dielectric loss,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary Dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
dielectric tangent,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Frequency,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Frequency,
"e""norm",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Relative Dielectric Loss Permittivity,
Lo,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,,
"PVAc-32% e"" (red circles)",properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Loss Modulus,
Log(loss factor e''),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Loss Modulus,
imaginary permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Loss Permittivity,
Imaginary permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
dielectric permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary Part of Dielectric Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
Imaginary dielectric function,properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity,Dielectric Loss Permittivity,
