file,xPath,yRaw_header,yUnit
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S17_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S17_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S17_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S18_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E116_S18_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E116_S18_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
