file,xPath,yRaw_header,yName,stdYName
L237_S5_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,dielectric constant,dielectric constant,Dielectric Real Permittivity
L237_S5_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,loss factor,loss factor,
L237_S5_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,conductivity (S/m),Conductivity,Conductivity
L237_S6_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,dielectric constant,dielectric constant,Dielectric Real Permittivity
L237_S6_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,loss factor,loss factor,
L237_S6_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,conductivity (S/m),Conductivity,Conductivity
L237_S7_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,dielectric constant,dielectric constant,Dielectric Real Permittivity
L237_S7_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,loss factor,loss factor,
L237_S7_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,conductivity (S/m),Conductivity,Conductivity
L237_S8_Wang_2012.xml,PROPERTIES/Electrical/CurrentDensity/data,current (A),Current,Current Density
L237_S9_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,dielectric constant,dielectric constant,Dielectric Real Permittivity
L237_S9_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,loss factor,loss factor,
L237_S9_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,conductivity (S/m),Conductivity,Conductivity
L238_S1_Zhao_2008.xml,PROPERTIES/Mechanical/Tensile/TensileStressAtYield/data,fatigue crack growth rate,fatigue crack growth rate,
L238_S3_Zhao_2008.xml,PROPERTIES/Mechanical/Tensile/TensileStressAtYield/data,fatigue crack growth rate,fatigue crack growth rate,
L238_S7_Zhao_2008.xml,PROPERTIES/Mechanical/Tensile/TensileStressAtYield/data,fatigue crack growth rate,fatigue crack growth rate,
L239_S1_MacCrone_2008.xml,PROPERTIES/Electrical/ElectricConductivity/data,Differential of Imaginary Magnetic Susceptibility,Differential of Imaginary Magnetic Susceptibility,
L239_S1_MacCrone_2008.xml,PROPERTIES/Electrical/ElectricConductivity/data,Differential of Imaginary Magnetic Susceptibility,Differential of Imaginary Magnetic Susceptibility,
L239_S1_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S1_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S1_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S1_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S2_MacCrone_2008.xml,PROPERTIES/Electrical/ElectricConductivity/data,Differential of Imaginary Magnetic Susceptibility,Differential of Imaginary Magnetic Susceptibility,
L239_S2_MacCrone_2008.xml,PROPERTIES/Electrical/ElectricConductivity/data,Differential of Imaginary Magnetic Susceptibility,Differential of Imaginary Magnetic Susceptibility,
L239_S2_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S2_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S2_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L239_S2_MacCrone_2008.xml,PROPERTIES/Electrical/CurrentDensity/data,Charge Density (C/m^3),Charge density,
L240_S10_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant,Dielectric Constant,Dielectric Real Permittivity
L240_S11_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant,Dielectric Constant,Dielectric Real Permittivity
L240_S12_Hong_2005.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric Constant,Dielectric Constant,Dielectric Real Permittivity
