file,xPath,xRaw_header,xName,stdXName
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
