file,xPath,occurrence,xRaw_header,xName,stdXName,xUnit,stdXUnit,xUnitType,yRaw_header,yName,stdYName,yUnit,stdYUnit,yUnitType
E116_S26_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,14,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,Heat Flow (mW),Heat flow,Heat Flow,mW,,Heat Flow
E116_S2_Prasad_2018.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,56,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,Storage modulus (Pa),Storage modulus,Storage Modulus,Pa,,Storage Modulus
E116_S2_Prasad_2018.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,84,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,Tan delta,Tan delta,Tan Delta,,,Tan Delta
E116_S2_Prasad_2018.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,26,Temperature (Celsius),Temperature,Temperature,Celsius,,Temperature,Loss modulus (Pa),Loss modulus,Loss Modulus,Pa,,Loss Modulus
E139_S1_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,2,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,"E"" (Pa)","E""",Loss Modulus,Pa,,Loss Modulus
E139_S1_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,5,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Tan delta,Tan delta,Tan Delta,dimensionless,,Tan Delta
E139_S1_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,3,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,E' (Pa),E',Storage Modulus,Pa,,Storage Modulus
E139_S1_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,3,Temperature (C),Temperature,Temperature,C,,Temperature,"E"" (Pa)","E""",Loss Modulus,Pa,,Loss Modulus
E139_S1_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,6,Temperature (C),Temperature,Temperature,C,,Temperature,Tan delta,Tan delta,Tan Delta,dimensionless,,Tan Delta
E139_S1_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,7,Temperature (C),Temperature,Temperature,C,,Temperature,E' (Pa),E',Storage Modulus,Pa,,Storage Modulus
E139_S1_Hassinger_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,4,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Real permittivity,Real permittivity,Dielectric Real Permittivity,dimensionless,,Dielectric Real Permittivity
E139_S2_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Temperature ｩ,Temperature ｩ,Temperature,dimensionless,,Temperature,"E"" (Pa)","E""",Loss Modulus,Pa,,Loss Modulus
E139_S2_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Temperature ｩ,Temperature ｩ,Temperature,dimensionless,,Temperature,Tan delta,Tan delta,Tan Delta,dimensionless,,Tan Delta
E139_S2_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Temperature ｩ,Temperature ｩ,Temperature,dimensionless,,Temperature,E' (Pa),E',Storage Modulus,Pa,,Storage Modulus
E139_S5_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Frequecy (Hz),Frequecy,Frequency,Hz,,Frequency,"E"" (Pa)","E""",Loss Modulus,Pa,,Loss Modulus
E139_S5_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Frequecy (Hz),Frequecy,Frequency,Hz,,Frequency,Tan delta,Tan delta,Tan Delta,dimensionless,,Tan Delta
E139_S5_Hassinger_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Frequecy (Hz),Frequecy,Frequency,Hz,,Frequency,E' (Pa),E',Storage Modulus,Pa,,Storage Modulus
