file,xPath,xRaw_header,yRaw_header,xName,stdXName,xUnit,yName,stdYName,yUnit
E115_S4_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S5_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S6_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S7_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S8_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S9_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S10_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S13_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S14_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S15_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S16_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S17_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S17_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S17_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S18_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S18_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S18_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S1_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S21_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S21_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S21_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S26_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S26_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S26_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S26_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,Temperature (Celsius),Heat Flow (mW),Temperature,Temperature,Celsius,Heat flow,Heat Flow,mW
E116_S27_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S27_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S27_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S27_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,Temperature (Celsius),Heat Flow (mW),Temperature,Temperature,Celsius,Heat flow,Heat Flow,mW
E116_S28_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S28_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S28_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S28_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,Temperature (Celsius),Heat Flow (mW),Temperature,Temperature,Celsius,Heat flow,Heat Flow,mW
E116_S29_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E116_S29_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E116_S29_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E116_S29_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,Temperature (Celsius),Heat Flow (mW),Temperature,Temperature,Celsius,Heat flow,Heat Flow,mW
